Project ID;Year;Retired Credits;Issued Credits;Vintage Credits
ACR519;2022;31200,0;61575,0;58492,0
ACR519;2023;18765,0;58347,0;27553,0
ACR533;2020;70062,0;81042,0;81042,0
ACR534;2021;97604,0;98604,0;99706,0
ACR534;2022;67294,0;99050,0;100120,0
ACR534;2023;59686,0;99729,0;2469,0
ACR535;2020;39632,0;89632,0;89632,0
ACR536;2020;89898,0;89898,0;89898,0
ACR537;2024;1100,0;146099,0;146099,0
ACR538;2020;14690,0;58481,0;58481,0
ACR542;2024;22126,0;59077,0;32260,0
ACR543;2020;5397,0;71885,0;71885,0
ACR544;2022;32,0;53968,0;53968,0
ACR544;2024;64357,0;56919,0;56919,0
ACR546;2024;30304,0;68179,0;49304,0
ACR554;2024;72938,0;19828,0;19828,0
ACR558;2023;2963,0;200923,0;22414,0
ACR560;2024;23519,0;236589,0;122991,0
ACR562;2023;160000,0;215778,0;31029,0
ACR562;2024;6272,0;27606,0;4525,0
ACR566;2022;4844,0;103103,0;21165,0
ACR574;2021;18944,0;18944,0;50520,0
ACR574;2022;47551,0;54913,0;41964,0
ACR574;2023;47362,0;41840,0;45401,0
ACR578;2024;4841,0;289176,0;220262,0
ACR586;2022;22638,0;302408,0;137185,0
ACR588;2022;63500,0;137875,0;83803,0
ACR590;2022;41175,0;61730,0;38047,0
ACR592;2022;15000,0;370088,0;243938,0
ACR592;2023;123433,0;176276,0;226355,0
ACR593;2023;1800,0;10096,0;10096,0
ACR594;2024;990,0;4038,0;3884,0
ACR595;2022;4000,0;207730,0;162846,0
ACR595;2023;6052,0;182467,0;95254,0
ACR595;2024;9263,0;242241,0;13636,0
ACR596;2022;31840,0;469231,0;418861,0
ACR596;2023;36136,0;422642,0;123875,0
ACR596;2024;247045,0;485455,0;11036,0
ACR597;2021;729,0;3384,0;5704,0
ACR610;2024;7351,0;61991,0;30703,0
ACR614;2023;87,0;234502,0;144237,0
ACR632;2023;2293,0;48460,0;11087,0
ACR634;2022;16116,0;173717,0;1799,0
ACR637;2022;9466,0;368277,0;55539,0
ACR650;2023;362,0;29960,0;29960,0
ACR650;2024;15560,0;35259,0;35259,0
ACR651;2022;4946,0;16986,0;29277,0
ACR651;2023;3952,0;29277,0;17950,0
ACR669;2024;49560,0;112102,0;62542,0
ACR675;2022;1025,0;64387,0;65587,0
ACR675;2023;178,0;65587,0;66930,0
ACR701;2023;5617,0;720990,0;741377,0
ACR701;2024;54917,0;747430,0;124571,0
ACR721;2023;31754,0;31754,0;35404,0
ACR732;2023;31248,0;31248,0;35774,0
ACR733;2023;4878,0;59532,0;68044,0
ACR736;2022;8692,0;27748,0;31818,0
ACR743;2024;9378,0;8807,0;8807,0
ACR746;2024;43770,0;67365,0;67365,0
ACR751;2024;184312,0;745470,0;745470,0
ACR758;2022;17067,0;20952,0;24294,0
ACR761;2024;384423,0;331363,0;331363,0
ACR762;2022;601,0;114791,0;114791,0
ACR771;2024;22975,0;106594,0;106594,0
